epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,12046.8,0.77624,1.23378,0.92372,0.30443,0.45983,0.2933,0.22426,0.82141,1.894,0.92774,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,12439.3,0.72256,1.12543,0.91483,0.28177,0.44487,0.28481,0.21512,0.80749,1.8836,0.92875,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,12822.1,0.71538,1.12337,0.90732,0.26213,0.48832,0.28138,0.20935,0.77983,1.97901,0.92245,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,13222.3,0.7634,1.14719,0.93829,0.26821,0.45314,0.27796,0.20431,0.7969,1.96206,0.92352,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,13624,0.7328,1.1104,0.90944,0.25695,0.458,0.28338,0.20459,0.80488,1.95163,0.92978,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,14009.5,0.73221,1.07068,0.91874,0.36626,0.38137,0.29551,0.20998,0.78984,1.94969,0.927,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,14420.6,0.75628,1.08498,0.92596,0.24809,0.36325,0.24859,0.18284,0.79902,1.99231,0.93583,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,14820.9,0.72539,1.05085,0.91491,0.26802,0.42617,0.27198,0.19184,0.80518,2.04938,0.93164,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,15207.9,0.69848,0.98919,0.90512,0.29854,0.46481,0.28424,0.1999,0.7876,2.00052,0.9211,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,15606.5,0.71988,1.02713,0.90612,0.25969,0.49899,0.26882,0.19143,0.79071,2.06086,0.92442,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,15992.5,0.72049,1.02735,0.9216,0.28491,0.32692,0.25059,0.18597,0.78046,2.04994,0.93151,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,16384.5,0.71947,1.02216,0.90912,0.25002,0.45909,0.27305,0.19902,0.78331,2.05285,0.92341,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,16785.4,0.68945,0.99323,0.9007,0.30827,0.31125,0.25962,0.19271,0.80844,2.10632,0.93373,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,17159.9,0.68773,0.99384,0.91288,0.32317,0.32194,0.26385,0.19708,0.79226,2.00072,0.92586,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,17543.9,0.70622,0.98025,0.90652,0.30707,0.31838,0.26502,0.19674,0.80823,2.06831,0.93565,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,17930,0.6908,0.97358,0.90068,0.2989,0.33547,0.26593,0.1971,0.80537,1.95293,0.9325,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,18302.5,0.6871,0.94751,0.90655,0.28504,0.35826,0.26924,0.20473,0.77786,1.95072,0.9283,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
