epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,12551.6,0.99709,1.32829,1.12799,0.57803,0.51815,0.54031,0.40784,1.0171,1.54204,1.22363,0.005743,0.005743,0.005743
45,13035.9,0.97259,1.32509,1.12023,0.6781,0.48819,0.5242,0.39003,1.00565,1.46245,1.22714,0.005644,0.005644,0.005644
46,13507.6,0.94823,1.28497,1.09827,0.62404,0.40571,0.50595,0.38447,0.97158,1.47506,1.18886,0.005545,0.005545,0.005545
47,13850,0.95078,1.23839,1.09938,0.67712,0.48473,0.5291,0.4077,0.96309,1.42588,1.17018,0.005446,0.005446,0.005446
48,14245,0.97894,1.26594,1.12682,0.57102,0.53623,0.56404,0.42993,0.95789,1.38857,1.18737,0.005347,0.005347,0.005347
49,14677,0.96825,1.23959,1.11787,0.72884,0.47775,0.56808,0.43745,0.96179,1.38578,1.19237,0.005248,0.005248,0.005248
50,14990.6,0.99613,1.26806,1.13155,0.52542,0.49991,0.50702,0.37819,1.07954,1.55978,1.25572,0.005149,0.005149,0.005149
51,15214.4,0.93144,1.20453,1.09894,0.66837,0.50809,0.57496,0.44808,0.97427,1.31908,1.18973,0.00505,0.00505,0.00505
52,15435.9,0.93703,1.23499,1.09886,0.73589,0.46324,0.56044,0.42612,0.99749,1.36471,1.20808,0.004951,0.004951,0.004951
53,15656.6,0.91988,1.19177,1.08867,0.75249,0.50093,0.59117,0.43895,1.00619,1.5041,1.2168,0.004852,0.004852,0.004852
54,15877.3,0.91547,1.23764,1.08057,0.67911,0.50056,0.59251,0.45183,0.96826,1.23063,1.18344,0.004753,0.004753,0.004753
55,16103.1,0.86731,1.09304,1.05539,0.63405,0.49075,0.55741,0.43211,0.94151,1.35949,1.16426,0.004654,0.004654,0.004654
56,16335.2,0.92698,1.189,1.10695,0.70337,0.4621,0.54369,0.4106,0.99148,1.36656,1.2106,0.004555,0.004555,0.004555
57,16562.9,0.90781,1.1158,1.09275,0.75151,0.4682,0.58193,0.44516,0.97616,1.29009,1.17822,0.004456,0.004456,0.004456
58,16787.6,0.88966,1.10193,1.05903,0.76022,0.49157,0.58832,0.43779,1.01578,1.30432,1.21113,0.004357,0.004357,0.004357
59,17015.9,0.91244,1.13766,1.08067,0.73813,0.49612,0.58225,0.43968,0.96559,1.32335,1.166,0.004258,0.004258,0.004258
60,17234.7,0.90089,1.12492,1.07574,0.62167,0.47568,0.52742,0.39593,0.98535,1.40501,1.1795,0.004159,0.004159,0.004159
61,17464.5,0.83934,1.06944,1.05275,0.70112,0.48749,0.57544,0.44075,0.95962,1.31641,1.15665,0.00406,0.00406,0.00406
62,17688.5,0.87276,1.12417,1.07442,0.69743,0.54763,0.5951,0.45417,0.97293,1.2376,1.17599,0.003961,0.003961,0.003961
63,17921.6,0.85221,1.07776,1.05446,0.78507,0.44568,0.59736,0.46025,0.96489,1.41565,1.15438,0.003862,0.003862,0.003862
64,18149.7,0.87627,1.07892,1.04721,0.66775,0.52002,0.5968,0.46614,0.94318,1.21637,1.17227,0.003763,0.003763,0.003763
65,18377.4,0.9019,1.0768,1.05702,0.76091,0.50206,0.60627,0.46791,0.94129,1.17347,1.15393,0.003664,0.003664,0.003664
66,18644.7,0.85658,1.06438,1.05659,0.73124,0.52321,0.60016,0.46545,0.95255,1.25503,1.16926,0.003565,0.003565,0.003565
67,18863.6,0.86189,1.01733,1.04727,0.71164,0.51024,0.5842,0.44013,0.94136,1.2604,1.14961,0.003466,0.003466,0.003466
68,19079.1,0.85396,1.02989,1.04355,0.63674,0.54624,0.60217,0.47449,0.90667,1.24049,1.16059,0.003367,0.003367,0.003367
69,19297,0.84446,1.01296,1.05628,0.6803,0.58087,0.61212,0.47726,0.90104,1.15067,1.16647,0.003268,0.003268,0.003268
70,19510.6,0.82535,0.99591,1.04784,0.65934,0.56085,0.61858,0.47572,0.9226,1.15631,1.1578,0.003169,0.003169,0.003169
71,19737.4,0.82899,0.9533,1.05557,0.67312,0.55995,0.61227,0.47213,0.95283,1.19538,1.18534,0.00307,0.00307,0.00307
72,19952.5,0.82864,0.95672,1.06799,0.61014,0.55945,0.60815,0.47081,0.89337,1.21678,1.13343,0.002971,0.002971,0.002971
73,20168.6,0.79786,0.93663,1.04807,0.80094,0.52783,0.61675,0.47919,0.87329,1.13881,1.13086,0.002872,0.002872,0.002872
74,20385.2,0.83944,0.9326,1.04713,0.73712,0.48118,0.5752,0.44635,0.91091,1.31755,1.1201,0.002773,0.002773,0.002773
75,20608.8,0.76902,0.89165,1.01602,0.73552,0.50306,0.59029,0.46268,0.90401,1.27172,1.13121,0.002674,0.002674,0.002674
76,20823.5,0.78012,0.90784,1.01229,0.70909,0.57879,0.62148,0.47626,0.89629,1.12443,1.1426,0.002575,0.002575,0.002575
77,21045.2,0.79358,0.89347,1.01292,0.697,0.5371,0.59328,0.46104,0.91747,1.23447,1.12568,0.002476,0.002476,0.002476
78,21260.1,0.79198,0.91159,1.02365,0.77072,0.53387,0.62733,0.48148,0.90664,1.16268,1.14674,0.002377,0.002377,0.002377
79,21477,0.80292,0.92693,1.03707,0.7064,0.57377,0.63132,0.49653,0.88605,1.09995,1.13117,0.002278,0.002278,0.002278
80,21692.8,0.80542,0.95417,1.04582,0.78756,0.51966,0.6225,0.48696,0.9074,1.16676,1.13838,0.002179,0.002179,0.002179
81,21909.4,0.77064,0.8919,1.01637,0.7243,0.54673,0.61459,0.48102,0.86727,1.10178,1.1392,0.00208,0.00208,0.00208
82,22122.8,0.74724,0.85557,1.00769,0.82563,0.52249,0.63389,0.49408,0.88056,1.12164,1.13444,0.001981,0.001981,0.001981
83,22339,0.77786,0.86878,1.01319,0.83292,0.55994,0.65314,0.51516,0.9053,1.06255,1.15,0.001882,0.001882,0.001882
84,22553.4,0.74931,0.83223,1.00912,0.7442,0.56033,0.64928,0.50808,0.88819,1.07029,1.13409,0.001783,0.001783,0.001783
85,22774.5,0.74401,0.78701,1.00589,0.6452,0.61709,0.63493,0.49534,0.89235,1.1296,1.1235,0.001684,0.001684,0.001684
86,22986.9,0.72194,0.80296,1.0012,0.66589,0.61885,0.63853,0.4964,0.90975,1.11693,1.13446,0.001585,0.001585,0.001585
87,23202.5,0.73237,0.79462,0.99616,0.68744,0.61035,0.63991,0.49878,0.9202,1.08258,1.14998,0.001486,0.001486,0.001486
88,23428.8,0.75071,0.7792,1.00412,0.674,0.59991,0.646,0.5053,0.88887,1.04991,1.12705,0.001387,0.001387,0.001387
89,23644.8,0.74388,0.8002,1.00154,0.70204,0.6168,0.6548,0.50976,0.87865,1.03792,1.10772,0.001288,0.001288,0.001288
90,23851.9,0.76458,0.76058,1.01599,0.7378,0.55566,0.64928,0.50901,0.87262,1.07347,1.1082,0.001189,0.001189,0.001189
91,24062,0.67769,0.70093,0.98995,0.75888,0.55366,0.65389,0.51892,0.8782,1.06339,1.117,0.00109,0.00109,0.00109
92,24273.6,0.6705,0.66529,0.98355,0.7173,0.60837,0.65331,0.51343,0.87115,1.05756,1.11331,0.000991,0.000991,0.000991
93,24480.4,0.64039,0.64258,0.97704,0.70613,0.61579,0.65097,0.51248,0.88335,1.04724,1.12523,0.000892,0.000892,0.000892
94,24685.4,0.64988,0.63464,0.9697,0.80743,0.55803,0.64585,0.50691,0.87419,1.03907,1.12407,0.000793,0.000793,0.000793
95,24896.9,0.6433,0.64686,0.95459,0.79895,0.54349,0.63835,0.49975,0.8577,1.06587,1.10824,0.000694,0.000694,0.000694
96,25106.2,0.62195,0.60835,0.95108,0.74132,0.58902,0.63615,0.50401,0.84185,1.08942,1.09809,0.000595,0.000595,0.000595
97,25315.7,0.60973,0.62478,0.93807,0.75421,0.59759,0.64569,0.51474,0.83503,1.03968,1.09651,0.000496,0.000496,0.000496
98,25522.7,0.62866,0.59783,0.97171,0.77112,0.5871,0.65394,0.51603,0.84242,1.00333,1.10635,0.000397,0.000397,0.000397
99,25729.1,0.60498,0.57791,0.9564,0.76112,0.59592,0.65464,0.51763,0.84437,1.00195,1.10852,0.000298,0.000298,0.000298
100,25936.6,0.60697,0.57794,0.95378,0.75646,0.58638,0.65399,0.51582,0.84309,1.02642,1.10485,0.000199,0.000199,0.000199
