epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,0.0927,0.01884,0.00039,0.0,-1,0.63774,0.65334,0.53457,0.13020,0.88002,0.0,0.000010,0,0
45,0.0924,0.01890,0.00030,0.0,-1,0.64561,0.65783,0.53587,0.13007,0.91665,0.0,0.000010,0,0
46,0.0926,0.01864,0.00027,0.0,-1,0.64161,0.65104,0.53637,0.13065,0.97419,0.0,0.000010,0,0
47,0.0929,0.01851,0.00023,0.0,-1,0.64476,0.65836,0.53775,0.13013,0.97600,0.0,0.000010,0,0
48,0.0924,0.01815,0.00019,0.0,-1,0.64416,0.65385,0.53489,0.13014,1.00152,0.0,0.000010,0,0
49,0.0932,0.01796,0.00017,0.0,-1,0.64335,0.65148,0.53770,0.13070,1.04186,0.0,0.000010,0,0
50,0.0929,0.01770,0.00017,0.0,-1,0.64808,0.66043,0.54094,0.13074,1.07291,0.0,0.000001,0,0
51,0.0933,0.01656,0.00015,0.0,-1,0.64524,0.65756,0.53889,0.13038,1.06949,0.0,0.000001,0,0
52,0.0935,0.01581,0.00015,0.0,-1,0.64565,0.65689,0.53876,0.13034,1.07104,0.0,0.000001,0,0
53,0.0929,0.01540,0.00011,0.0,-1,0.64564,0.65635,0.53858,0.13041,1.06979,0.0,0.000001,0,0
54,0.0923,0.01516,0.00012,0.0,-1,0.64605,0.65578,0.53880,0.13025,1.07435,0.0,0.000001,0,0
55,0.0925,0.01469,0.00011,0.0,-1,0.64605,0.65623,0.53843,0.13026,1.07803,0.0,0.000001,0,0
56,0.0922,0.01448,0.00011,0.0,-1,0.64479,0.65580,0.53673,0.13026,1.08536,0.0,0.000001,0,0
57,0.0926,0.01412,0.00010,0.0,-1,0.64638,0.65609,0.53740,0.13033,1.08879,0.0,0.000001,0,0
58,0.0930,0.01434,0.00025,0.0,-1,0.64560,0.65606,0.53700,0.13011,1.08858,0.0,0.000001,0,0
59,0.0932,0.01404,0.00010,0.0,-1,0.64605,0.65588,0.53734,0.13006,1.09873,0.0,0.000001,0,0
60,0.0942,0.01393,0.00010,0.0,-1,0.64724,0.65491,0.53717,0.13023,1.10009,0.0,0.000001,0,0
61,0.0986,0.01390,0.00010,0.0,-1,0.64605,0.65642,0.53794,0.13015,1.10157,0.0,0.000001,0,0
62,0.0945,0.01385,0.00011,0.0,-1,0.64683,0.65473,0.53657,0.13012,1.10658,0.0,0.000001,0,0
63,0.0958,0.01386,0.00010,0.0,-1,0.64564,0.65494,0.53588,0.13027,1.12054,0.0,0.000001,0,0
64,0.0926,0.01356,0.00009,0.0,-1,0.63690,0.65060,0.53308,0.13026,1.12362,0.0,0.000001,0,0
65,0.0914,0.01325,0.00007,0.0,-1,0.62500,0.64410,0.52979,0.13016,1.13808,0.0,0.000001,0,0
66,0.0918,0.01374,0.00009,0.0,-1,0.63214,0.64790,0.53199,0.13018,1.13582,0.0,0.000001,0,0
67,0.0940,0.01351,0.00007,0.0,-1,0.63809,0.65135,0.53406,0.13010,1.14503,0.0,0.000001,0,0
68,0.0932,0.01341,0.00008,0.0,-1,0.62857,0.64607,0.52931,0.13026,1.15500,0.0,0.000001,0,0
69,0.0938,0.01343,0.00008,0.0,-1,0.62768,0.64650,0.52944,0.13019,1.15451,0.0,0.000001,0,0
70,0.0944,0.01333,0.00008,0.0,-1,0.62812,0.64705,0.52954,0.13017,1.16577,0.0,0.000001,0,0
