epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,0.0556,0.00891,0.00661,0.0,-1,0.68492,0.70462,0.59021,0.05630,0.22211,0.0,0.000500,0,0
45,0.0573,0.00823,0.00640,0.0,-1,0.68296,0.70179,0.58492,0.05659,0.22429,0.0,0.000500,0,0
46,0.0587,0.00874,0.00643,0.0,-1,0.68832,0.70647,0.59464,0.05637,0.22368,0.0,0.000500,0,0
47,0.0592,0.00843,0.00670,0.0,-1,0.67849,0.70005,0.58214,0.05684,0.22666,0.0,0.000500,0,0
48,0.0593,0.00845,0.00630,0.0,-1,0.68395,0.70601,0.58698,0.05660,0.22553,0.0,0.000500,0,0
49,0.0592,0.00848,0.00617,0.0,-1,0.68606,0.70274,0.58747,0.05687,0.22672,0.0,0.000500,0,0
50,0.0601,0.00858,0.00650,0.0,-1,0.68607,0.70020,0.58525,0.05678,0.22780,0.0,0.000050,0,0
51,0.0589,0.00800,0.00604,0.0,-1,0.68469,0.70286,0.58747,0.05661,0.22900,0.0,0.000050,0,0
52,0.0598,0.00811,0.00612,0.0,-1,0.68503,0.70163,0.58739,0.05682,0.22821,0.0,0.000050,0,0
53,0.0604,0.00818,0.00620,0.0,-1,0.68490,0.70114,0.58958,0.05665,0.22902,0.0,0.000050,0,0
54,0.0597,0.00801,0.00632,0.0,-1,0.68717,0.70187,0.58803,0.05670,0.22770,0.0,0.000050,0,0
55,0.0569,0.00798,0.00617,0.0,-1,0.68499,0.70337,0.58707,0.05659,0.22782,0.0,0.000050,0,0
56,0.0545,0.00792,0.00658,0.0,-1,0.68700,0.70509,0.59038,0.05679,0.22950,0.0,0.000050,0,0
57,0.0575,0.00800,0.00634,0.0,-1,0.68311,0.70115,0.58711,0.05655,0.22794,0.0,0.000050,0,0
58,0.0583,0.00813,0.00650,0.0,-1,0.68540,0.70422,0.58732,0.05674,0.22843,0.0,0.000050,0,0
