epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2196.82,0.57656,0.52976,0.9431,0.76095,0.72407,0.76318,0.63269,0.63318,0.80195,1.03185,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,2266.47,0.60597,0.54169,0.94975,0.80609,0.70221,0.77288,0.64369,0.63244,0.72093,1.03137,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,2339.31,0.56799,0.51671,0.91568,0.77956,0.72635,0.78425,0.65279,0.64937,0.72964,1.03847,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,2412.42,0.56042,0.49106,0.93314,0.81292,0.74546,0.77981,0.6492,0.64747,0.74456,1.04762,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,2482.69,0.55367,0.48941,0.90915,0.84187,0.68815,0.7827,0.65035,0.63267,0.77935,1.04559,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,2553.85,0.57854,0.48109,0.94115,0.81925,0.71807,0.7758,0.64647,0.64738,0.77001,1.05075,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,2625.58,0.57915,0.5071,0.96036,0.85569,0.67728,0.7842,0.63793,0.66666,0.77193,1.05751,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,2696.78,0.57202,0.48716,0.93568,0.81272,0.69485,0.78085,0.642,0.63623,0.80495,1.03512,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,2769.67,0.54985,0.45754,0.9342,0.80266,0.70131,0.782,0.65055,0.61369,0.78909,1.04079,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,2840.7,0.54412,0.46031,0.92765,0.89684,0.66804,0.7876,0.66103,0.62868,0.76575,1.02778,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,2910.82,0.5616,0.51247,0.9432,0.89595,0.6755,0.7827,0.65128,0.6359,0.75745,1.02489,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,2984.04,0.52515,0.42918,0.90835,0.8115,0.72779,0.78623,0.66132,0.62715,0.75083,1.03577,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,3054.55,0.51527,0.41292,0.90939,0.80366,0.74414,0.80323,0.66985,0.65593,0.74923,1.05447,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,3125.16,0.51336,0.47533,0.91516,0.82529,0.74468,0.80827,0.67275,0.65021,0.73889,1.03489,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,3195.33,0.54003,0.43915,0.92103,0.84676,0.69065,0.79423,0.6698,0.63405,0.73775,1.02806,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,3266.45,0.5241,0.41854,0.90514,0.79256,0.77303,0.7957,0.66257,0.61372,0.6934,1.00647,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,3337.26,0.49736,0.40594,0.89204,0.81697,0.74223,0.78193,0.64724,0.63138,0.75853,0.99675,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,3408.71,0.52106,0.42142,0.91155,0.83681,0.73188,0.7932,0.65831,0.62977,0.71473,1.00828,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,3478.77,0.54444,0.4482,0.92043,0.82959,0.73143,0.78824,0.65254,0.62659,0.72258,1.00902,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,3549.78,0.50297,0.40777,0.88976,0.82082,0.72713,0.77617,0.64853,0.60749,0.70126,0.9835,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,3621.32,0.51718,0.41676,0.8961,0.84165,0.71285,0.78663,0.65611,0.60805,0.71039,1.00118,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,3691.8,0.49678,0.42989,0.8974,0.80033,0.75519,0.79577,0.66979,0.6054,0.68218,1.00191,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,3764,0.50573,0.38048,0.91475,0.8024,0.7377,0.78087,0.65658,0.62027,0.67615,1.01186,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,3838.21,0.51314,0.40197,0.91322,0.85251,0.73329,0.79551,0.66781,0.62202,0.67452,1.01156,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,3910.48,0.49164,0.37043,0.89917,0.87019,0.71638,0.79506,0.66773,0.6341,0.66611,1.01172,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,3982.48,0.49036,0.36653,0.89797,0.86283,0.7379,0.79149,0.652,0.65464,0.69938,1.02054,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,4055.59,0.52306,0.39106,0.90743,0.77277,0.77884,0.77854,0.65158,0.60893,0.70356,1.01467,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,4125.75,0.50381,0.39182,0.89666,0.83983,0.75892,0.78431,0.65614,0.61434,0.69334,1.00479,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,4200.97,0.51682,0.38242,0.91254,0.8136,0.75016,0.78107,0.65784,0.61515,0.68385,1.00329,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,4275.41,0.48215,0.39223,0.88894,0.83841,0.73287,0.77821,0.64858,0.61193,0.66945,1.00753,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,4348.97,0.48572,0.37124,0.91778,0.86637,0.74022,0.79336,0.6697,0.60743,0.65607,1.00926,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,4421.99,0.47707,0.36203,0.89369,0.8716,0.73986,0.79776,0.67978,0.60713,0.66855,1.01891,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,4495.26,0.46638,0.35987,0.88013,0.84782,0.74467,0.79293,0.67045,0.61381,0.6883,1.01479,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,4567.28,0.45249,0.3339,0.8677,0.86158,0.71763,0.79407,0.68066,0.60884,0.69811,1.01001,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,4637.28,0.48206,0.36924,0.87771,0.86645,0.69943,0.79009,0.66626,0.61415,0.72157,1.00614,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,4707.18,0.46325,0.34768,0.88831,0.80481,0.73385,0.78165,0.6688,0.61696,0.7211,1.01959,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,4777.59,0.45833,0.35291,0.8796,0.86996,0.71363,0.79191,0.67684,0.60321,0.69728,1.01845,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,4846.96,0.45848,0.34046,0.8703,0.83225,0.74522,0.79271,0.67584,0.60416,0.71287,1.02375,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,4917.92,0.43168,0.36434,0.86695,0.84677,0.73697,0.79636,0.67856,0.61111,0.70361,1.02528,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,4988.35,0.44941,0.35143,0.87123,0.84587,0.72847,0.79825,0.68023,0.59457,0.68637,1.02418,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,5058.59,0.41637,0.32016,0.88068,0.83359,0.75587,0.79629,0.67456,0.60282,0.68222,1.03364,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,5126.99,0.42019,0.30489,0.86997,0.83228,0.77151,0.79512,0.6809,0.59627,0.68025,1.03192,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,5194.98,0.42188,0.31363,0.86522,0.79967,0.79778,0.79533,0.67457,0.60082,0.68299,1.02966,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,5265.78,0.42053,0.30428,0.87383,0.78696,0.78485,0.79473,0.67808,0.59937,0.67837,1.02135,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,5339.15,0.41886,0.2951,0.88151,0.84184,0.76842,0.80722,0.68213,0.60815,0.67488,1.025,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,5411.39,0.43037,0.32511,0.86062,0.86788,0.76111,0.80912,0.6869,0.61901,0.64206,1.01711,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,5484.45,0.40085,0.29495,0.85195,0.86017,0.74246,0.80836,0.68174,0.6186,0.65436,1.01965,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,5555.42,0.41135,0.2983,0.87197,0.85476,0.72768,0.80034,0.67873,0.61128,0.67585,1.01318,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,5627.33,0.42563,0.31301,0.87113,0.84346,0.73643,0.80311,0.67719,0.62553,0.70724,1.01889,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,5698.87,0.40732,0.33047,0.85929,0.85088,0.73391,0.79434,0.66424,0.62154,0.70043,1.02335,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,5770.62,0.42735,0.3058,0.87027,0.84755,0.73919,0.79972,0.66963,0.59554,0.69837,1.02743,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,5838.48,0.40216,0.28987,0.85342,0.83872,0.74989,0.80263,0.67956,0.58793,0.67868,1.02748,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,5911.59,0.39488,0.27994,0.85843,0.82725,0.76199,0.79317,0.68185,0.58332,0.66352,1.02225,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,5984.83,0.37916,0.27028,0.85229,0.81676,0.77563,0.7963,0.68132,0.58326,0.66859,1.02245,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
