
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
30	9837	0.779	0.7943	1.024	0.761	0.549	0.649	0.5	0.8458999991416931	1.0635600090026855	1.0905499458312988	0.0007129	0.0007129	0.0007129
31	10162	0.756	0.7547	1.014	0.723	0.532	0.608	0.477	0.8585399985313416	1.1254899501800537	1.0982500314712524	0.000703	0.000703	0.000703
32	10489	0.7212	0.7682	0.9914	0.725	0.572	0.66	0.513	0.8812199831008911	1.049970030784607	1.1086399555206299	0.0006931	0.0006931	0.0006931
33	10818	0.7172	0.7246	0.9977	0.738	0.624	0.661	0.512	0.8818600177764893	1.0722800493240356	1.1374000310897827	0.0006832	0.0006832	0.0006832
34	11149	0.7286	0.7751	1.003	0.702	0.574	0.647	0.486	0.8615800142288208	1.1218600273132324	1.111359954	0.0006733	0.0006733	0.0006733
35	11476	0.6875	0.7114	0.9704	0.688	0.633	0.648	0.507	0.8347200155258179	1.047320008277893	1.084689974784851	0.0006634	0.0006634	0.0006634
36	11812	0.7021	0.6546	0.972	0.697	0.582	0.616	0.488	0.8622999787330627	1.197029948234558	1.1090799570083618	0.0006535	0.0006535	0.0006535
37	12138	0.7258	0.7239	0.9902	0.733	0.592	0.644	0.499	0.84454	1.0468699932098389	1.0924899578094482	0.0006436	0.0006436	0.0006436
38	12470	0.7083	0.6732	0.976	0.743	0.604	0.683	0.54	0.8127700090408325	1.0084199905395508	1.0826499462127686	0.0006337	0.0006337	0.0006337
39	12808	0.7188	0.69	0.9962	0.746	0.612	0.671	0.521	0.8127400279045105	0.9722899794578552	1.0924500226974487	0.0006238	0.0006238	0.0006238
40	13139	0.7098	0.7113	0.9938	0.781	0.613	0.669	0.522	0.8009300231933594	1.005020022392273	1.0730400085449219	0.0006139	0.0006139	0.0006139
41	13465	0.7155	0.689	1.001	0.748	0.618	0.662	0.526	0.8095600008964539	1.0184500217437744	1.0890300273895264	0.000604	0.000604	0.000604
42	13802	0.7172	0.6798	0.9834	0.851	0.573	0.681	0.547	0.7885400056838989	0.9395599961280823	1.0797300338745117	0.0005941	0.0005941	0.0005941
43	14131	0.6904	0.6766	0.9741	0.856	0.609	0.699	0.569	0.7591099739074707	0.9283199906349182	1.0634000301361084	0.0005842	0.0005842	0.0005842
44	14464	0.6739	0.6454	0.9652	0.757	0.663	0.706	0.572	0.7696599960327148	0.9363600015640259	1.0598200559616089	0.0005743	0.0005743	0.0005743
45	14804	0.6769	0.6396	0.9869	0.729	0.67	0.724	0.571	0.8017600178718567	0.9168400168418884	1.0863399505615234	0.0005644	0.0005644	0.0005644
46	15129	0.6464	0.6186	0.9579	0.746	0.671	0.693	0.54	0.8321400284767151	0.9763100147247314	1.0997300148010254	0.0005545	0.0005545	0.0005545
47	15462	0.6464	0.6015	0.9655	0.801	0.616	0.684	0.539	0.8125399947166443	1.0415500402450562	1.0782599449157715	0.0005446	0.0005446	0.0005446
48	15801	0.6194	0.5632	0.9511	0.797	0.616	0.697	0.572	0.7811400294303894	0.9951199889183044	1.0796600580215454	0.0005347	0.0005347	0.0005347
49	16137	0.7018	0.5951	0.9833	0.813	0.631	0.714	0.577	0.7930999994277954	0.9109600186347961	1.0607600212097168	0.0005248	0.0005248	0.0005248
50	16471	0.64	0.5839	0.9593	0.775	0.64	0.704	0.575	0.7793400287628174	0.948170006	1.0652400255203247	0.0005149	0.0005149	0.0005149
51	16795	0.6317	0.567	0.9465	0.81	0.637	0.708	0.583	0.7520599961280823	0.8899199962615967	1.0457700490951538	0.000505	0.000505	0.000505
52	17122	0.6454	0.5821	0.9598	0.84	0.58	0.7	0.571	0.7566499710083008	0.8656299710273743	1.036910057067871	0.0004951	0.0004951	0.0004951
53	17449	0.6494	0.5873	0.9547	0.848	0.603	0.696	0.544	0.8027399778366089	0.9407299757003784	1.0693800449371338	0.0004852	0.0004852	0.0004852
54	17778	0.6508	0.5701	0.9654	0.815	0.624	0.674	0.533	0.7876499891281128	0.9165599942207336	1.0651299953460693	0.0004753	0.0004753	0.0004753
55	18113	0.6398	0.5689	0.9545	0.843	0.57	0.698	0.563	0.7691599726676941	0.9142000079154968	1.041509985923767	0.0004654	0.0004654	0.0004654
56	18441	0.6495	0.5661	0.9601	0.792	0.591	0.664	0.528	0.7743200063705444	1.0029000043869019	1.0621999502182007	0.0004555	0.0004555	0.0004555
57	18766	0.6197	0.5334	0.9307	0.898	0.635	0.73	0.598	0.7588300108909607	0.8455899953842163	1.055299997329712	0.0004456	0.0004456	0.0004456
58	19094	0.6269	0.5322	0.9456	0.814	0.637	0.715	0.574	0.7890700101852417	0.9042199850082397	1.079949975013733	0.0004357	0.0004357	0.0004357
59	19422	0.6197	0.5273	0.9388	0.836	0.611	0.721	0.579	0.7657700181007385	0.8996599912643433	1.0603699684143066	0.0004258	0.0004258	0.0004258
60	19769	0.5871	0.5103	0.9353	0.836	0.606	0.717	0.583	0.7392200231552124	0.8865799903869629	1.0555700063705444	0.0004159	0.0004159	0.0004159
61	20115	0.5996	0.4966	0.944	0.84	0.593	0.704	0.583	0.7275400161743164	0.9250800013542175	1.0414999723434448	0.000406	0.000406	0.000406
62	20442	0.5963	0.5086	0.9361	0.818	0.656	0.738	0.604	0.726069987	0.8192399740219116	1.0357600450515747	0.0003961	0.0003961	0.0003961
63	20762	0.5892	0.4963	0.9268	0.897	0.63	0.739	0.599	0.7343199849128723	0.7486299872398376	1.0433599948883057	0.0003862	0.0003862	0.0003862
