epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11929.4,0.78001,1.36554,0.93539,0.76405,0.5266,0.62399,0.50974,0.73667,1.46781,0.93255,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,12309.6,0.73398,1.28511,0.92286,0.72468,0.5798,0.62757,0.50343,0.73922,1.50365,0.94295,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,12678.9,0.72086,1.28277,0.91975,0.71694,0.53164,0.6146,0.49705,0.74257,1.53956,0.94126,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,13058.3,0.75576,1.29795,0.9345,0.70838,0.56231,0.61587,0.49961,0.74317,1.46792,0.93346,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,13437.9,0.74232,1.27892,0.92514,0.66621,0.60002,0.63975,0.50734,0.74433,1.44756,0.93422,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,13806.2,0.739,1.21955,0.92898,0.71747,0.54267,0.63188,0.50511,0.73481,1.44306,0.92107,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,14185.3,0.76497,1.2754,0.93173,0.69571,0.57568,0.63932,0.50565,0.7428,1.46633,0.92109,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,14564.4,0.73292,1.19404,0.92549,0.73511,0.5777,0.64511,0.51595,0.73974,1.44159,0.92181,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,14930.7,0.69506,1.14457,0.91078,0.77945,0.57362,0.64592,0.51432,0.73048,1.43572,0.92057,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,15322.8,0.73224,1.1805,0.91629,0.69887,0.61016,0.64488,0.51737,0.73268,1.44942,0.91832,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,15688.4,0.72562,1.20702,0.92921,0.75017,0.54143,0.62821,0.50796,0.73292,1.5084,0.91652,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,16065.5,0.73566,1.19247,0.91903,0.74689,0.53159,0.62604,0.50802,0.73073,1.47951,0.92175,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,16444.8,0.70694,1.18631,0.91293,0.72395,0.56651,0.63379,0.50668,0.74413,1.43453,0.93209,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,16812,0.69577,1.12612,0.91426,0.63777,0.59333,0.62983,0.51068,0.742,1.43826,0.92976,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,17201.7,0.7181,1.1467,0.91463,0.66534,0.61303,0.63571,0.51845,0.7377,1.44349,0.92471,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,17582.5,0.70064,1.14345,0.91392,0.66781,0.60626,0.63767,0.52196,0.73894,1.42406,0.92085,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,17947.2,0.70542,1.12533,0.91433,0.78541,0.52674,0.64436,0.52443,0.72088,1.42035,0.90952,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,18328,0.68941,1.10595,0.91257,0.84415,0.52489,0.64406,0.51759,0.71526,1.39104,0.90943,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,18696.5,0.71337,1.09845,0.93129,0.73742,0.57547,0.64053,0.51891,0.73152,1.38205,0.92302,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,19075.7,0.7205,1.13234,0.92827,0.68504,0.61024,0.64268,0.52051,0.73066,1.40164,0.92006,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,19455.9,0.69318,1.07318,0.90403,0.73879,0.58952,0.6517,0.52866,0.7443,1.39879,0.93286,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,19823.9,0.68586,1.06348,0.91599,0.74632,0.5848,0.65113,0.5218,0.74389,1.38726,0.92438,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,20204.6,0.68782,1.05251,0.90944,0.77193,0.5973,0.64861,0.51791,0.73794,1.38553,0.92814,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,20584.8,0.66248,1.06071,0.89751,0.77416,0.57386,0.6528,0.52272,0.73106,1.34599,0.91758,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,20955.1,0.65894,1.03917,0.90536,0.71992,0.59118,0.65159,0.52431,0.73503,1.32133,0.91663,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,21336.2,0.65672,1.04906,0.90845,0.70628,0.59498,0.64875,0.52377,0.73061,1.32363,0.92295,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,21708.1,0.68353,1.02864,0.898,0.76083,0.5693,0.65278,0.52672,0.72754,1.33588,0.92189,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,22091.1,0.68589,1.02519,0.90025,0.77596,0.56123,0.65763,0.53329,0.7253,1.32409,0.91333,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,22473.5,0.66081,0.99756,0.90931,0.73692,0.57707,0.65037,0.53058,0.71092,1.33288,0.91111,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,22842.3,0.66528,1.01407,0.90049,0.75601,0.5775,0.65046,0.53116,0.7223,1.34203,0.92143,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,23223.9,0.638,0.98871,0.89966,0.79358,0.57666,0.65487,0.52872,0.71279,1.33119,0.91519,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,23606.3,0.67038,1.00195,0.89055,0.7374,0.59752,0.65516,0.52968,0.71997,1.32459,0.91534,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,23975.4,0.65395,1.00268,0.90386,0.72229,0.59812,0.66317,0.53293,0.72185,1.30779,0.91541,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,24358.8,0.64839,0.99245,0.89108,0.83765,0.53941,0.66623,0.536,0.72024,1.27953,0.9213,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,24728.5,0.68209,1.05987,0.91597,0.88506,0.53633,0.6669,0.5306,0.72154,1.28317,0.91841,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,25108.8,0.66647,0.97827,0.90432,0.84451,0.54975,0.66639,0.53379,0.7257,1.27995,0.91316,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
